intervention,category,question,outcome,indicator,assumption,metric,input_type,variable_name,selectors,skip_logic
PMDS,one time,Last irrigation applied,,,,,single select,bm_ot_last_irrigation_applied,Yes | No
PMDS,one time,Duration of pumping or flow meter reading (m3),Reduced irrigation water applied (rabi/zaid) (availability),Irrigation water volumetric savings (m3),Agriculture acreage and crop mix remains the same,hours or m3,decimal,bm_ot_duration_of_pumping_or_flow_meter_reading,,show if bm_ot_last_irrigation_applied = Yes
PMDS,cm,Select the Asset ID,Reduced irrigation water applied (rabi/zaid) (availability),Irrigation water volumetric savings (m3),,,single select,bm_cm_select_the_asset_id
PMDS,cm,Date of reading,Reduced irrigation water applied (rabi/zaid) (availability),Irrigation water volumetric savings (m3),,,date,bm_cm_date_of_reading
PMDS,cm,Date of irrigation,Reduced irrigation water applied (rabi/zaid) (availability),Irrigation water volumetric savings (m3),,,date,bm_cm_date_of_irrigation
PMDS,cm,Is there a flow meter?,Reduced irrigation water applied (rabi/zaid) (availability),Irrigation water volumetric savings (m3),,,single select,bm_cm_has_flow_meter,Yes | No
PMDS,cm,Volume of irrigation water applied through Flow meter reading (m3),Reduced irrigation water applied (rabi/zaid) (availability),Irrigation water volumetric savings (m3),Agriculture acreage and crop mix remains the same,m3,decimal,bm_cm_volume_of_irrigation_water_applied_through_flow_m,,show if bm_cm_has_flow_meter = Yes
PMDS,cm,Number of hours of pumping (hr),Reduced irrigation water applied (rabi/zaid) (availability),Irrigation water volumetric savings (m3),Agriculture acreage and crop mix remains the same,hours,decimal,bm_cm_number_of_hours_of_pumping,,show if bm_cm_has_flow_meter = No
PMDS,cm,Rainfall (mm),Reduced irrigation water applied (rabi/zaid) (availability),Irrigation water volumetric savings (m3),,mm,decimal,bm_cm_rainfall
PMDS,cm,Are you practicing raised bed farming?,"If kharif crop is rainfed, increased green water availability in the soil to support plant growth. ",Improved soil moisture (m3),,,single select,bm_cm_raised_bed_farming,Yes | No
PMDS,cm,Soil moisture reading - Raised bed (R) - Corner A,"If kharif crop is rainfed, increased green water availability in the soil to support plant growth. ",Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_r_corner_a,,show if bm_cm_raised_bed_farming = Yes
PMDS,cm,Soil moisture reading - Raised bed (R) - Corner B,"If kharif crop is rainfed, increased green water availability in the soil to support plant growth. ",Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_r_corner_b,,show if bm_cm_raised_bed_farming = Yes
PMDS,cm,Soil moisture reading - Raised bed (R) - Corner C,"If kharif crop is rainfed, increased green water availability in the soil to support plant growth. ",Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_r_corner_c,,show if bm_cm_raised_bed_farming = Yes
PMDS,cm,Soil moisture reading - Raised bed (R) - Corner D,"If kharif crop is rainfed, increased green water availability in the soil to support plant growth. ",Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_r_corner_d,,show if bm_cm_raised_bed_farming = Yes
PMDS,cm,Soil moisture reading - Raised bed (R) - Centre,"If kharif crop is rainfed, increased green water availability in the soil to support plant growth. ",Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_r_centre,,show if bm_cm_raised_bed_farming = Yes
PMDS,cm,Soil moisture reading - Raised bed (F) - Corner A,"If kharif crop is rainfed, increased green water availability in the soil to support plant growth. ",Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_f_corner_a,,show if bm_cm_raised_bed_farming = Yes
PMDS,cm,Soil moisture reading - Raised bed (F) - Corner B,"If kharif crop is rainfed, increased green water availability in the soil to support plant growth. ",Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_f_corner_b,,show if bm_cm_raised_bed_farming = Yes
PMDS,cm,Soil moisture reading - Raised bed (F) - Corner C,"If kharif crop is rainfed, increased green water availability in the soil to support plant growth. ",Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_f_corner_c,,show if bm_cm_raised_bed_farming = Yes
PMDS,cm,Soil moisture reading - Raised bed (F) - Corner D,"If kharif crop is rainfed, increased green water availability in the soil to support plant growth. ",Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_f_corner_d,,show if bm_cm_raised_bed_farming = Yes
PMDS,cm,Soil moisture reading - Raised bed (F) - Centre,"If kharif crop is rainfed, increased green water availability in the soil to support plant growth. ",Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_f_centre,,show if bm_cm_raised_bed_farming = Yes
PMDS,cm,Soil moisture reading - Flat plot - Corner A,"If kharif crop is rainfed, increased green water availability in the soil to support plant growth. ",Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_flat_corner_a,,show if bm_cm_raised_bed_farming = No
PMDS,cm,Soil moisture reading - Flat plot - Corner B,"If kharif crop is rainfed, increased green water availability in the soil to support plant growth. ",Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_flat_corner_b,,show if bm_cm_raised_bed_farming = No
PMDS,cm,Soil moisture reading - Flat plot - Corner C,"If kharif crop is rainfed, increased green water availability in the soil to support plant growth. ",Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_flat_corner_c,,show if bm_cm_raised_bed_farming = No
PMDS,cm,Soil moisture reading - Flat plot - Corner D,"If kharif crop is rainfed, increased green water availability in the soil to support plant growth. ",Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_flat_corner_d,,show if bm_cm_raised_bed_farming = No
PMDS,cm,Soil moisture reading - Flat plot - Centre,"If kharif crop is rainfed, increased green water availability in the soil to support plant growth. ",Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_flat_centre,,show if bm_cm_raised_bed_farming = No
