intervention,outcome,question,category,indicator,assumption,metric,input_type,variable_name,selectors,skip_logic
Bio-mulching,,Frequency of irrigation,one time,,,,text,bm_ot_frequency_of_irrigation,,
Bio-mulching,,Method of bio-mulching,one time,,,,single select,bm_ot_method_of_bio_mulching,in-situ application | cover crop | not applicable,
Bio-mulching,,What is the volumetric water savings KPI decided for bio-mulching?,one time,,,,text,bm_ot_what_is_the_volumetric_water_savings_kpi_decided_,,
Bio-mulching,,Last irrigation applied,one time,,,,single select,bm_ot_last_irrigation_applied,Yes | No,
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Duration of pumping or flow meter reading (m3),one time,Irrigation water volumetric savings (m3),Agriculture acreage and crop mix remains the same,hours or m3,decimal,bm_ot_duration_of_pumping_or_flow_meter_reading,,show if bm_ot_last_irrigation_applied = Yes
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Select the Asset ID,cm,Irrigation water volumetric savings (m3),,,single select,bm_cm_select_the_asset_id,,
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Date of reading,cm,Irrigation water volumetric savings (m3),,,date,bm_cm_date_of_reading,,
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Date of irrigation,cm,Irrigation water volumetric savings (m3),,,date,bm_cm_date_of_irrigation,,
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Is there a flow meter?,cm,Irrigation water volumetric savings (m3),,,single select,bm_cm_has_flow_meter,Yes | No,
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Volume of irrigation water applied through Flow meter reading (m3),cm,Irrigation water volumetric savings (m3),Agriculture acreage and crop mix remains the same,m3,decimal,bm_cm_volume_of_irrigation_water_applied_through_flow_m,,show if bm_cm_has_flow_meter = Yes
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Number of hours of pumping (hr),cm,Irrigation water volumetric savings (m3),Agriculture acreage and crop mix remains the same,hours,decimal,bm_cm_number_of_hours_of_pumping,,show if bm_cm_has_flow_meter = No
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Rainfall recorded since last irrigation (mm),cm,Improved soil moisture (m3),,mm,decimal,bm_cm_rainfall_recorded_since_last_irrigation,,
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Are you practicing raised bed farming?,cm,Improved soil moisture (m3),,,single select,bm_cm_raised_bed_farming,Yes | No,
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Soil moisture reading - Raised bed (R) - Corner A,cm,Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_r_corner_a,,show if bm_cm_raised_bed_farming = Yes
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Soil moisture reading - Raised bed (R) - Corner B,cm,Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_r_corner_b,,show if bm_cm_raised_bed_farming = Yes
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Soil moisture reading - Raised bed (R) - Corner C,cm,Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_r_corner_c,,show if bm_cm_raised_bed_farming = Yes
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Soil moisture reading - Raised bed (R) - Corner D,cm,Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_r_corner_d,,show if bm_cm_raised_bed_farming = Yes
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Soil moisture reading - Raised bed (R) - Centre,cm,Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_r_centre,,show if bm_cm_raised_bed_farming = Yes
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Soil moisture reading - Raised bed (F) - Corner A,cm,Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_f_corner_a,,show if bm_cm_raised_bed_farming = Yes
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Soil moisture reading - Raised bed (F) - Corner B,cm,Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_f_corner_b,,show if bm_cm_raised_bed_farming = Yes
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Soil moisture reading - Raised bed (F) - Corner C,cm,Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_f_corner_c,,show if bm_cm_raised_bed_farming = Yes
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Soil moisture reading - Raised bed (F) - Corner D,cm,Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_f_corner_d,,show if bm_cm_raised_bed_farming = Yes
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Soil moisture reading - Raised bed (F) - Centre,cm,Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_raised_f_centre,,show if bm_cm_raised_bed_farming = Yes
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Soil moisture reading - Flat plot - Corner A,cm,Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_flat_corner_a,,show if bm_cm_raised_bed_farming = No
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Soil moisture reading - Flat plot - Corner B,cm,Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_flat_corner_b,,show if bm_cm_raised_bed_farming = No
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Soil moisture reading - Flat plot - Corner C,cm,Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_flat_corner_c,,show if bm_cm_raised_bed_farming = No
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Soil moisture reading - Flat plot - Corner D,cm,Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_flat_corner_d,,show if bm_cm_raised_bed_farming = No
Bio-mulching,Reduced irrigation water applied (rabi/zaid) (availability),Soil moisture reading - Flat plot - Centre,cm,Improved soil moisture (m3),,% or m3,decimal,bm_cm_soil_moisture_flat_centre,,show if bm_cm_raised_bed_farming = No
